CO_ITEM,SG_UF_PROVA,TX_GABARITO,answer_distribution,correct_probability
19807,AM,E,[0.08700074 0.17320432 0.44369004 0.19261112 0.10088238 0.0026114 ],0.10088237719563485
19807,AP,E,[0.08405821 0.17012379 0.44872867 0.18626631 0.1068083  0.00401472],0.10680829708932753
19807,BA,E,[0.07018969 0.15866252 0.50997716 0.17148602 0.08671509 0.00296951],0.08671509324668926
19807,CE,E,[0.07168467 0.15383778 0.48354682 0.18213989 0.10646539 0.00232545],0.10646538649991834
19807,DF,E,[0.06482218 0.14591615 0.52067101 0.15656967 0.10348757 0.00853342],0.10348757089097366
19807,ES,E,[0.06487461 0.14103683 0.54314307 0.1598592  0.08849712 0.00258917],0.08849711991621574
19807,GO,E,[0.06880512 0.15576164 0.51595768 0.16524087 0.09150538 0.00272931],0.09150537792190641
19807,MA,E,[0.07688442 0.16988999 0.45276382 0.19300557 0.10471275 0.00274345],0.10471275295395899
19807,MG,E,[0.05665256 0.13395628 0.5720087  0.14545722 0.08959803 0.00232722],0.08959802538787023
19807,MS,E,[0.06750455 0.15650397 0.52133943 0.16267709 0.08966559 0.00230937],0.08966558600168761
19807,MT,E,[0.07421507 0.15597388 0.51440645 0.16540356 0.08685782 0.00314323],0.08685782139489401
19807,PA,E,[0.07988909 0.16908347 0.45855243 0.18979379 0.09973798 0.00294324],0.09973798029468244
19807,PB,E,[0.07026149 0.1504871  0.50468296 0.17545719 0.0963596  0.00275167],0.09635959665014528
19807,PE,E,[0.0624273  0.15013824 0.5308037  0.16484889 0.08897893 0.00280294],0.08897893030794166
19807,PI,E,[0.06994813 0.15904748 0.4683858  0.18874026 0.11158942 0.00228891],0.11158942483358182
19807,PR,E,[0.06260156 0.14209697 0.56188834 0.14874536 0.08239789 0.00226988],0.08239788640676747
19807,RJ,E,[0.06813132 0.15255368 0.53191837 0.15262467 0.09198935 0.00278261],0.0919893522626442
19807,RN,E,[0.06798233 0.14910217 0.51842503 0.16992714 0.0918861  0.00267722],0.09188610330254528
19807,RO,E,[0.07815915 0.1573467  0.50707032 0.17033038 0.08432961 0.00276385],0.08432960534773107
19807,RR,E,[0.07504407 0.16771594 0.49433392 0.17073785 0.08839083 0.00377739],0.08839083354318811
