CO_ITEM,RENDA,TX_GABARITO,answer_distribution,correct_probability
19807,Q,E,[0.03566672 0.06925254 0.48018978 0.176003   0.23514233 0.00374563],0.23514233394373232
26545,A,C,[0.29994408 0.20883164 0.11008643 0.14651375 0.23049378 0.00413033],0.11008643271296686
26545,B,C,[0.31005165 0.18523474 0.11133688 0.14946788 0.23973304 0.0041758 ],0.11133687954978469
26545,C,C,[0.31037336 0.15558299 0.12482829 0.154083   0.25139342 0.00373894],0.12482828965443195
26545,D,C,[0.30568337 0.14301451 0.1386994  0.15587311 0.25309105 0.00363857],0.13869939501702191
26545,E,C,[0.29593104 0.13329448 0.15929379 0.15654017 0.25146967 0.00347084],0.15929379218483844
26545,F,C,[0.28791258 0.12249404 0.17802186 0.15739724 0.2509458  0.00322849],0.17802185610473178
26545,G,C,[0.28082143 0.11448214 0.19552679 0.15514286 0.25078571 0.00324107],0.19552678571428572
26545,H,C,[0.27518558 0.10269387 0.2217097  0.15261217 0.24439049 0.00340819],0.22170969699799245
26545,I,C,[0.26626317 0.09842946 0.24784078 0.14808597 0.23606724 0.00331338],0.24784078107397672
26545,J,C,[0.2607037  0.0927549  0.26445551 0.14546945 0.23368434 0.00293209],0.26445551421905544
26545,K,C,[0.25483784 0.08515499 0.28050529 0.14544884 0.2308726  0.00318043],0.28050528579107686
26545,L,C,[0.24276618 0.08171206 0.29596746 0.14280156 0.23441811 0.00233463],0.2959674566678458
26545,M,C,[0.24208077 0.08178201 0.30851224 0.14014412 0.22474103 0.00273983],0.3085122354000901
26545,N,C,[0.23456274 0.07627207 0.33225368 0.13896145 0.21554696 0.00240309],0.3322536830007314
26545,O,C,[0.22806002 0.07232113 0.34737299 0.1357167  0.21377913 0.00275004],0.34737299174989145
26545,P,C,[0.21922067 0.06866056 0.36972718 0.12611888 0.21327116 0.00300155],0.3697271801468618
26545,Q,C,[0.21216914 0.06375895 0.38588314 0.12830864 0.20717496 0.00270518],0.3858831363409356
28034,A,A,[0.25519725 0.28944658 0.18439306 0.14781858 0.1206428  0.00250174],0.25519724514122577
28034,B,A,[0.26701615 0.3062558  0.16628855 0.14245254 0.11568155 0.00230541],0.26701614886767033
28034,C,A,[0.28428602 0.32359545 0.14743563 0.12965671 0.11290725 0.00211895],0.28428601654103525
28034,D,A,[0.29635059 0.3288462  0.13781469 0.12236269 0.11237505 0.0022508 ],0.296350586551597
28034,E,A,[0.31354782 0.33216358 0.12791532 0.11358368 0.11065715 0.00213246],0.31354781695462286
28034,F,A,[0.33288955 0.32581128 0.12053032 0.10781605 0.11083375 0.00211904],0.3328895545570533
28034,G,A,[0.34071429 0.32879464 0.11591071 0.10210714 0.11047321 0.002     ],0.3407142857142857
